id	id_ciudad_1	id_ciudad_2	puntaje	distancia
1	1	2	1526342	570.911977992
2	3	1	210878	901.632249149
3	3	2	1460674	358.843689373
4	4	1	852380	830.701811431
5	4	2	2102176	641.018459885
6	4	3	786712	584.57179998
7	5	1	161963	603.075077053
8	5	2	1411759	1073.43167391
9	5	3	96295	1317.82889132
10	5	4	737797	953.511601263
11	6	1	248964	1446.10492334
12	6	4	824798	824.994815023
13	6	5	134381	1753.35102445
14	7	1	144541	252.931597539
15	7	2	1394337	633.790945587
16	7	3	78873	898.214986547
17	7	4	720375	664.242503777
18	7	5	29958	439.933667614
19	7	6	116959	1384.62198627
20	8	1	166787	365.072884793
21	8	2	1416583	496.638897877
22	8	3	101119	712.112614061
23	8	4	742621	473.447301105
24	8	5	52204	605.829076842
25	8	6	139206	1180.16367185
26	8	7	34782	205.73940315
27	9	1	177611	719.312520737
28	9	2	1427407	176.978985004
29	9	3	111943	185.703628029
30	9	4	753445	561.533005034
31	9	5	63028	1166.38203207
32	9	7	45606	735.767540435
33	9	8	67852	563.883547286
34	10	1	219583	1117.24770407
35	10	2	1469379	979.348673576
36	10	3	153915	874.736516202
37	10	4	795417	339.263389263
38	10	5	105000	1081.20414452
39	10	6	192001	925.402754165
40	10	7	87578	909.900209494
41	10	8	109824	752.479630632
42	10	9	120648	887.388957698
43	11	1	415240	418.70518793
44	11	2	1665036	386.67107051
45	11	4	991074	949.848996427
46	11	5	300657	1020.81363744
47	11	7	283235	623.794188608
48	11	8	305482	610.11657926
49	11	10	358277	1283.67839068
50	12	1	576715	876.684204354
51	12	2	1826511	977.636268829
52	12	3	511047	1030.49539353
53	12	4	1152549	467.168416747
54	12	5	462132	672.97414304
55	12	6	549133	1271.03799576
56	12	7	444710	629.358703842
57	12	8	466956	558.11822101
58	12	9	477780	961.712297854
59	12	10	519752	430.199398939
60	12	11	715409	1167.19077399
61	13	1	144544	1429.50687341
62	13	2	1394340	1057.35529915
63	13	3	78876	772.388219604
64	13	4	720378	630.135370696
65	13	5	29961	1570.76460347
66	13	6	116963	465.80508858
67	13	7	12539	1290.20295828
68	13	8	34786	1091.57280245
69	13	9	45609	896.436820752
70	13	10	87581	558.362074817
71	13	11	283239	1436.84817277
72	13	12	444713	972.667842751
73	14	1	259319	501.791961429
74	14	2	1509115	982.36294935
75	14	3	193651	1239.02408085
76	14	4	835153	909.028675148
77	14	5	144736	101.327212353
78	14	6	231737	1693.06559029
79	14	7	127314	349.080780556
80	14	8	149560	528.114825561
81	14	9	160384	1082.34049625
82	14	10	202356	1066.63782728
83	14	11	398013	919.711163589
84	14	12	559488	677.458116985
85	14	13	127317	1534.26131323
86	15	1	155632	384.460684134
87	15	2	1405428	240.625752239
88	15	3	89964	522.917724311
89	15	4	731466	542.643388389
90	15	5	41049	834.58659025
91	15	6	128050	1062.17074191
92	15	7	23627	396.267880532
93	15	8	45873	261.038152969
94	15	9	56697	347.282517179
95	15	10	98669	873.527898372
96	15	11	294326	410.733812352
97	15	12	455801	783.781752648
98	15	13	23630	1080.42876124
99	15	14	138405	745.339779051
100	16	1	269420	793.006769405
101	16	2	1519216	372.753589223
102	16	3	203752	240.111967931
103	16	4	845254	348.259168785
104	16	5	154837	1123.70507326
105	16	6	241839	658.382121975
106	16	7	137415	730.309991141
107	16	8	159662	528.980106012
