Allentown,ABE,40.65236,-75.44040
Abilene,ABI,32.41132,-99.68190
Albuquerque,ABQ,35.04022,-106.60919
Aberdeen,ABR,45.44906,-98.42183
Albany,ABY,31.53552,-84.19447
Nantucket,ACK,41.25305,-70.06018
Waco,ACT,31.61129,-97.23052
Arcata/Eureka,ACV,40.97812,-124.10862
Atlantic City,ACY,39.45758,-74.57717
Adak,ADK,51.87796,-176.64603
Kodiak,ADQ,57.74997,-152.49386
Alexandria,AEX,31.32737,-92.54856
Augusta,AGS,33.36996,-81.96450
King Salmon,AKN,58.67680,-156.64922
Albany,ALB,42.74812,-73.80298
Waterloo,ALO,42.55708,-92.40034
Amarillo,AMA,35.21937,-101.70593
Anchorage,ANC,61.17432,-149.99619
Alpena,APN,45.07807,-83.56029
Aspen,ASE,39.22316,-106.86885
Atlanta,ATL,33.64044,-84.42694
Appleton,ATW,44.25741,-88.51948
Austin,AUS,30.19453,-97.66987
Asheville,AVL,35.43619,-82.54181
Wilkes-Barre/Scranton,AVP,41.33815,-75.72427
Kalamazoo,AZO,42.23488,-85.55206
Windsor Locks,BDL,41.93887,-72.68323
Bethel,BET,60.77978,-161.83800
Bakersfield,BFL,35.43360,-119.05677
Binghamton,BGM,42.20848,-75.97961
Bangor,BGR,44.80744,-68.82814
Birmingham,BHM,33.56294,-86.75355
Billings,BIL,45.80766,-108.54286
Bismarck,BIS,46.77411,-100.74672
Bemidji,BJI,47.50942,-94.93372
Bellingham,BLI,48.79275,-122.53753
Bloomington,BMI,40.47799,-88.91595
Nashville,BNA,36.12448,-86.67818
Boise,BOI,43.56444,-116.22278
Boston,BOS,42.36435,-71.00518
Beaumont/Port Arthur,BPT,29.95083,-94.02069
Brunswick,BQK,31.25903,-81.46631
Aguadilla,BQN,18.49486,-67.12944
Brainerd,BRD,46.39786,-94.13723
Brownsville,BRO,25.90683,-97.42586
Barrow,BRW,71.28545,-156.76600
Butte,BTM,45.95480,-112.49746
Baton Rouge,BTR,30.53316,-91.14963
Burlington,BTV,44.47300,-73.15031
Buffalo,BUF,42.94052,-78.73217
Burbank,BUR,34.20062,-118.35850
Baltimore,BWI,39.17540,-76.66820
Bozeman,BZN,45.77690,-111.15301
Columbia,CAE,33.93884,-81.11954
Akron,CAK,40.91631,-81.44247
Cedar City,CDC,37.70097,-113.09858
Cordova,CDV,60.49183,-145.47765
Crescent City,CEC,41.78016,-124.23653
Chattanooga,CHA,35.03527,-85.20379
Charlottesville,CHO,38.13864,-78.45286
Charleston,CHS,32.89865,-80.04051
Cedar Rapids,CID,41.88459,-91.71087
Sault Ste. Marie,CIU,46.25075,-84.47239
San Diego,CLD,33.12723,-117.27873
Cleveland,CLE,41.41089,-81.84940
College Station,CLL,30.58859,-96.36382
Charlotte,CLT,35.21401,-80.94313
Columbus,CMH,39.99799,-82.89188
Champaign/Urbana,CMI,40.03925,-88.27806
Hancock,CMX,47.16842,-88.48906
Moab,CNY,38.75496,-109.75484
Cody,COD,44.52019,-109.02380
Colorado Springs,COS,38.80581,-104.70025
Columbia,COU,38.81809,-92.21963
Casper,CPR,42.90836,-106.46447
Corpus Christi,CRP,27.77036,-97.50122
Charleston,CRW,38.37315,-81.59319
Columbus,CSG,32.51633,-84.93886
Covington,CVG,39.04614,-84.66217
Mosinee,CWA,44.77762,-89.66678
Daytona Beach,DAB,29.17992,-81.05806
Dallas,DAL,32.84711,-96.85177
Dayton,DAY,39.90238,-84.21938
Dubuque,DBQ,42.40296,-90.70917
Arlington,DCA,38.85208,-77.03772
Denver,DEN,39.85841,-104.66700
Dallas-Fort Worth,DFW,32.89595,-97.03720
Dothan,DHN,31.32134,-85.44963
Dickinson,DIK,46.79739,-102.80195
Dillingham,DLG,59.04541,-158.50334
Duluth,DLH,46.84209,-92.19365
Durango,DRO,37.15152,-107.75377
Des Moines,DSM,41.53493,-93.66068
Detroit,DTW,42.21206,-83.34884
Devils Lake,DVL,48.11425,-98.90878
Eau Claire,EAU,44.86526,-91.48507
Panama City,ECP,30.35833,-85.79555
Eagle,EGE,39.64257,-106.91770
Elko,EKO,40.82493,-115.79170
Elmira,ELM,42.15991,-76.89144
El Paso,ELP,31.80667,-106.37781
Erie,ERI,42.08202,-80.17622
Escanaba,ESC,45.72267,-87.09373
Eugene,EUG,44.12326,-123.21869
Evansville,EVV,38.03799,-87.53063
New Bern,EWN,35.07297,-77.04294
Newark,EWR,40.69250,-74.16866
Key West,EYW,24.55611,-81.75956
Fairbanks,FAI,64.81368,-147.85967
Fargo,FAR,46.91935,-96.81499
Fresno,FAT,36.77619,-119.71814
Fayetteville,FAY,34.99147,-78.88000
Kalispell,FCA,48.31140,-114.25507
Flagstaff,FLG,35.13845,-111.67122
Ft. Lauderdale,FLL,26.07258,-80.15275
Flint,FNT,42.96550,-83.74346
Sioux Falls,FSD,43.58135,-96.74170
Fort Smith,FSM,35.33659,-94.36744
Fort Wayne,FWA,40.97847,-85.19515
Gillette,GCC,44.34890,-105.53936
Garden City,GCK,37.92752,-100.72441
Spokane,GEG,47.61986,-117.53384
Grand Forks,GFK,47.94926,-97.17611
Longview,GGG,32.38486,-94.71171
Grand Junction,GJT,39.12241,-108.52673
